route_id,service_id,block_id,trip_id,trip_sequence,trip_type,trip_headsign,direction_id,pattern_id,pattern_count,direction_code,pattern_code,pattern_rank,hierarchy
6-CFV,aaCF1504-CF1504Sa-Saturday-05,350275,aa2004515,1,0,,1,6-6-16,3122,0,100,9,1
5-CFV,aaCF1504-CF1504Sa-Saturday-05,350275,aa2004483,2,0,,1,6-5-22,787,1,201,31,1
5-CFV,aaCF1504-CF1504Sa-Saturday-05,350275,aa2004481,3,0,,0,6-5-23,3783,0,100,7,1
6-CFV,aaCF1504-CF1504Sa-Saturday-05,350275,aa2004482,4,0,,1,6-6-16,3122,0,100,9,1
5-CFV,aaCF1504-CF1504Sa-Saturday-05,350275,aa2004340,5,0,,1,6-5-22,787,1,201,31,1
5-CFV,aaCF1504-CF1504Sa-Saturday-05,350275,aa2004357,6,0,,0,6-5-23,3783,0,100,7,1
6-CFV,aaCF1504-CF1504Sa-Saturday-05,350275,aa2004374,7,0,,1,6-6-16,3122,0,100,9,1
5-CFV,aaCF1504-CF1504Sa-Saturday-05,350275,aa2004341,8,0,,1,6-5-22,787,1,201,31,1
5-CFV,aaCF1504-CF1504Sa-Saturday-05,350275,aa2004358,9,0,,0,6-5-23,3783,0,100,7,1
6-CFV,aaCF1504-CF1504Sa-Saturday-05,350275,aa2004375,10,0,,1,6-6-16,3122,0,100,9,1
5-CFV,aaCF1504-CF1504Sa-Saturday-05,350275,aa2004342,11,0,,1,6-5-22,787,1,201,31,1
5-CFV,aaCF1504-CF1504Sa-Saturday-05,350275,aa2004359,12,0,,0,6-5-23,3783,0,100,7,1
6-CFV,aaCF1504-CF1504Sa-Saturday-05,350275,aa2004376,13,0,,1,6-6-16,3122,0,100,9,1
5-CFV,aaCF1504-CF1504Sa-Saturday-05,350275,aa2004343,14,0,,1,6-5-22,787,1,201,31,1
5-CFV,aaCF1504-CF1504Sa-Saturday-05,350275,aa2004360,15,0,,0,6-5-23,3783,0,100,7,1
6-CFV,aaCF1504-CF1504Sa-Saturday-05,350275,aa2004377,16,0,,1,6-6-16,3122,0,100,9,1
35-CFV,aaCF1504-CF1504Sa-Saturday-05,350276,aa2004184,1,0,,1,6-35-9,708,1,200,34,1
35-CFV,aaCF1504-CF1504Sa-Saturday-05,350276,aa2004187,2,0,,0,6-35-10,708,0,100,33,1
35-CFV,aaCF1504-CF1504Sa-Saturday-05,350276,aa2004185,3,0,,1,6-35-9,708,1,200,34,1
35-CFV,aaCF1504-CF1504Sa-Saturday-05,350276,aa2004188,4,0,,0,6-35-10,708,0,100,33,1
35-CFV,aaCF1504-CF1504Sa-Saturday-05,350276,aa2004186,5,0,,1,6-35-9,708,1,200,34,1
35-CFV,aaCF1504-CF1504Sa-Saturday-05,350276,aa2004189,6,0,,0,6-35-10,708,0,100,33,1
3-CFV,aaCF1504-CF1504Sa-Saturday-05,350277,aa2004514,1,0,,1,6-3-45,5328,1,200,3,1
3-CFV,aaCF1504-CF1504Sa-Saturday-05,350277,aa2004509,2,0,,0,6-3-44,5482,0,100,2,1
3-CFV,aaCF1504-CF1504Sa-Saturday-05,350277,aa2004512,3,0,,1,6-3-45,5328,1,200,3,1
3-CFV,aaCF1504-CF1504Sa-Saturday-05,350277,aa2004507,4,0,,0,6-3-44,5482,0,100,2,1
3-CFV,aaCF1504-CF1504Sa-Saturday-05,350277,aa2004278,5,0,,1,6-3-45,5328,1,200,3,1
3-CFV,aaCF1504-CF1504Sa-Saturday-05,350277,aa2004300,6,0,,0,6-3-44,5482,0,100,2,1
3-CFV,aaCF1504-CF1504Sa-Saturday-05,350277,aa2004280,7,0,,1,6-3-45,5328,1,200,3,1
3-CFV,aaCF1504-CF1504Sa-Saturday-05,350277,aa2004302,8,0,,0,6-3-44,5482,0,100,2,1
3-CFV,aaCF1504-CF1504Sa-Saturday-05,350277,aa2004282,9,0,,1,6-3-45,5328,1,200,3,1
3-CFV,aaCF1504-CF1504Sa-Saturday-05,350277,aa2004304,10,0,,0,6-3-44,5482,0,100,2,1
3-CFV,aaCF1504-CF1504Sa-Saturday-05,350277,aa2004284,11,0,,1,6-3-45,5328,1,200,3,1
3-CFV,aaCF1504-CF1504Sa-Saturday-05,350277,aa2004306,12,0,,0,6-3-44,5482,0,100,2,1
3-CFV,aaCF1504-CF1504Sa-Saturday-05,350277,aa2004286,13,0,,1,6-3-45,5328,1,200,3,1
3-CFV,aaCF1504-CF1504Sa-Saturday-05,350277,aa2004308,14,0,,0,6-3-44,5482,0,100,2,1
3-CFV,aaCF1504-CF1504Sa-Saturday-05,350277,aa2004288,15,0,,1,6-3-45,5328,1,200,3,1
3-CFV,aaCF1504-CF1504Sa-Saturday-05,350277,aa2004310,16,0,,0,6-3-44,5482,0,100,2,1
3-CFV,aaCF1504-CF1504Sa-Saturday-05,350277,aa2004290,17,0,,1,6-3-45,5328,1,200,3,1
3-CFV,aaCF1504-CF1504Sa-Saturday-05,350277,aa2004312,18,0,,0,6-3-44,5482,0,100,2,1
