service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,feed_days_count,service_days_count,each_day_count,dof,actual_dof,dof_group,regular_service,mf_label
aaCF1504-CF1504Wk-Weekday-08,1,1,1,1,1,0,0,20150406,20150904,154,107,0;20;22;21;22;22;0,12345,12345,1,1.0,MTWThF
aaCF1504-CF1504Sa-Saturday-05,0,0,0,0,0,1,0,20150411,20150905,154,22,0;0;0;0;0;0;22,6,6,2,1.0,
aaCF1504-CF1504Su-Sunday-03,0,0,0,0,0,0,1,20150412,20150906,154,25,22;2;0;1;0;0;0,0,0,3,1.0,
abCW1504-CW1504Su-Sunday-12,0,0,0,0,0,0,1,20150406,20150628,84,14,12;2;0;0;0;0;0,0,0,3,1.0,
abCW1504-CW1504Wk-Weekday-10,1,1,1,1,1,0,0,20150407,20150626,84,58,0;10;12;12;12;12;0,12345,12345,1,1.0,MTWThF
abCW1504-CW1504Wk-Weekday-10-0000100,0,0,0,0,1,0,0,20150407,20150626,84,12,0;0;0;0;0;12;0,5,5,1,1.0,F
abCW1504-CW1504Sa-Saturday-07,0,0,0,0,0,1,0,20150411,20150627,84,12,0;0;0;0;0;0;12,6,6,2,1.0,
acCHW1507-CW1507ST-Sunday-13,0,0,0,0,0,0,1,20150803,20150907,69,2,0;2;0;0;0;0;0,0,,,0.2,
acCHW1507-CW1507Wk-Weekday-10,1,1,1,1,1,0,0,20150701,20150904,69,47,0;8;9;10;10;10;0,12345,12345,1,1.01,MTWThF
acCHW1507-CW1507Wk-Weekday-10-0000100,0,0,0,0,1,0,0,20150701,20150904,69,10,0;0;0;0;0;10;0,5,5,1,1.01,F
acCHW1507-CW1507Sa-Saturday-07,0,0,0,0,0,1,0,20150704,20150905,69,10,0;0;0;0;0;0;10,6,6,2,1.01,
acCHW1507-CW1507Su-Sunday-12,0,0,0,0,0,0,1,20150705,20150906,69,10,10;0;0;0;0;0;0,0,0,3,1.01,
adCX1501-CX1501-Weekday-08,1,1,1,1,1,0,0,20150626,20151231,189,90,0;17;19;17;19;18;0,12345,24,1,0.7,TTh
adCX1501-CX1501-Saturday-04,0,0,0,0,0,1,0,20150627,20151219,189,17,0;0;0;0;0;0;17,6,,,0.63,
adCX1501-CX1501-Saturday-05,0,0,0,0,0,1,0,20150704,20150829,189,9,0;0;0;0;0;0;9,6,,,0.33,
adCX1501-CX1407-Sunday-04,0,0,0,0,0,0,1,20150628,20151227,189,27,27;0;0;0;0;0;0,0,0,3,1.0,
adCX1501-CX1501-Weekday-09,1,1,1,1,1,0,0,20150706,20150828,189,39,0;7;8;8;8;8;0,12345,,,0.3,
aeFVX1504-66-Weekday-01,1,1,1,1,1,0,0,20150414,20150904,145,101,0;18;21;20;21;21;0,12345,12345,1,1.01,MTWThF
aeFVX1504-66-Saturday-01,0,0,0,0,0,1,0,20150418,20150905,145,21,0;0;0;0;0;0;21,6,6,2,1.01,
afKA1504-KA1504-Weekday-11,1,1,1,1,1,0,0,20150429,20150626,130,42,0;7;8;9;9;9;0,12345,,,0.48,
