agency_id,route_id,route_short_name,route_long_name,route_type,route_desc
6,1-CFV,1,McKee - Blueridge GoLine,3,
6,2-CFV,2,Bluejay - Huntingdon GoLine,3,
6,3-CFV,3,Clearbrook - UFV GoLine,3,
6,4-CFV,4,Saddle,3,
6,5-CFV,5,Hospital,3,
6,6-CFV,6,Gladwin - Peardonville,3,
6,7-CFV,7,Sumas Mountain,3,
6,12-CFV,12,UFV - Bourquin Connector,3,
6,15-CFV,15,Auguston Connector,3,
6,16-CFV,16,McMillan Commuter,3,
6,17-CFV,17,Townline Industrial,3,
6,21-CFV,21,Aldergrove Connector,3,
6,31-CFV,31,Abbotsford - Mission Connector,3,
6,32-CFV,32,West Heights,3,
6,33-CFV,33,Cedar Valley,3,
6,34-CFV,34,East Side,3,
6,35-CFV,35,Hatzic,3,
6,40-CFV,40,East Mission Night,3,
19,1-Chilliwack,1,Vedder,3,
19,2-Chilliwack,2,Evans,3,
19,3-Chilliwack,3,Chilliwack,3,
19,4-Chilliwack,4,Promontory,3,
19,5-Chilliwack,5,Yarrow - Greendale,3,
19,6-Chilliwack,6,Cultus Lake,3,
19,7-Chilliwack,7,Broadway,3,
19,8-Chilliwack,8,Tyson,3,
19,11-Chilliwack,11,Agassiz-Harrison,3,
12,1-ComoxValley,1,Fitzgerald,3,
12,2-ComoxValley,2,Cumberland,3,
12,3-ComoxValley,3,Comox via Ryan & Lerwick,3,
12,4-ComoxValley,4,Comox via Comox Road,3,
12,5-ComoxValley,5,Vanier,3,
12,6-ComoxValley,6,Uplands,3,
12,7-ComoxValley,7,Arden,3,
12,8-ComoxValley,8,Willemar,3,
12,9-ComoxValley,9,Beach Bus,3,
12,10-ComoxValley,10,Royston-Buckley Bay,3,
12,11-ComoxValley,11,Little River,3,
12,12-ComoxValley,12,North Valley Connector,3,
12,34-ComoxValley,34,C2C Express,3,
12,99-ComoxValley,99,VMP Connector,3,
20,66-FVX,66,Fraser Valley Express (FVX),3,
8,1-Kamloops,1,Tranquille,3,
8,2-Kamloops,2,Parkcrest,3,
8,3-Kamloops,3,Westsyde,3,
8,4-Kamloops,4,Pacific Way,3,
