stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,stop_short_name
100001,Northbound Government at Belleville,48.420336,-123.368822,100001,0,,Northbound Government at Belleville
100002,Southbound Government at Belleville,48.419736,-123.368999,100002,0,,Southbound Government at Belleville
100003,Legislature Terminus Bay D,48.419141,-123.368942,100003,0,,Legislature Terminus Bay D
100004,Westbound Superior at Government,48.418292,-123.369349,100004,0,,Westbound Superior at Government
100005,Westbound Belleville at Douglas,48.420489,-123.367333,100005,0,,Westbound Belleville at Douglas
100006,Legislature Terminus Bay E,48.418266,-123.368052,100006,0,,Legislature Terminus Bay E
100007,Eastbound Superior at Menzies,48.418012,-123.371875,100007,0,,Eastbound Superior at Menzies
100008,Westbound Superior at Menzies,48.418261,-123.372801,100008,0,,Westbound Superior at Menzies
100009,Southbound Patrica Bay at Haliburton,48.513950,-123.384455,100009,0,,Southbound Patrica Bay at Haliburton
100010,Northbound Douglas at Belleville,48.420992,-123.366113,100010,0,,Northbound Douglas at Belleville
100011,Southbound Menzies at Superior,48.417842,-123.372635,100011,0,,Southbound Menzies at Superior
100012,Northbound Douglas at Elliot Street,48.419223,-123.365871,100012,0,,Northbound Douglas at Elliot Street
100013,Northbound Menzies at Michigan,48.417168,-123.372808,100013,0,,Northbound Menzies at Michigan
100015,Southbound Humboldt at Penwell,48.421551,-123.365418,100015,0,,Southbound Humboldt at Penwell
100016,Eastbound Sooke at Townsend,48.378370,-123.722045,100016,0,,Eastbound Sooke at Townsend
100017,Eastbound Burdett at Douglas,48.422044,-123.365448,100017,0,,Eastbound Burdett at Douglas
100018,Eastbound 5250 block Sooke,48.389028,-123.642837,100018,0,,Eastbound 5250 block Sooke
100019,Southbound Douglas at Courtney,48.422729,-123.365951,100019,0,,Southbound Douglas at Courtney
100020,Northbound Douglas at Courtney,48.422703,-123.365766,100020,0,,Northbound Douglas at Courtney
100021,Eastbound Superior at Oswego,48.419392,-123.376034,100021,0,,Eastbound Superior at Oswego
100022,Southbound Menzies at Michigan,48.416605,-123.373333,100022,0,,Southbound Menzies at Michigan
100023,Southbound Oswego at Superior,48.419298,-123.376726,100023,0,,Southbound Oswego at Superior
100024,Bay B at Blanshard Terminus ,48.421222,-123.363362,100024,0,,Bay B at Blanshard Terminus
100025,Bay A at Blanshard Terminus ,48.421881,-123.364070,100025,0,,Bay A at Blanshard Terminus
100026,Northbound Government at Broughton,48.424059,-123.367950,100026,0,,Northbound Government at Broughton
100027,Westbound Toronto at Huntington,48.415903,-123.366887,100027,0,,Westbound Toronto at Huntington
100028,Eastbound Fort at Langley,48.424948,-123.368905,100028,0,,Eastbound Fort at Langley
100029,Legislature Terminus Bay C,48.418968,-123.368941,100029,0,,Legislature Terminus Bay C
100030,Northbound Oswego at Michigan,48.418739,-123.377113,100030,0,,Northbound Oswego at Michigan
100031,Northbound Menzies at Simcoe,48.415551,-123.373694,100031,0,,Northbound Menzies at Simcoe
100032,Northbound Douglas at Fort,48.424366,-123.365305,100032,0,,Northbound Douglas at Fort
100033,Eastbound Fort at Douglas,48.424495,-123.364570,100033,0,,Eastbound Fort at Douglas
100034,Southbound Douglas at Fort,48.424957,-123.365339,100034,0,,Southbound Douglas at Fort
100035,Westbound Fairfield at Quadra,48.420206,-123.360740,100035,0,,Westbound Fairfield at Quadra
100036,Southbound Menzies at Simcoe,48.414961,-123.374471,100036,0,,Southbound Menzies at Simcoe
100037,Northbound Douglas at Avalon,48.414869,-123.366292,100037,0,,Northbound Douglas at Avalon
100038,Eastbound Avalon at Douglas,48.414639,-123.366911,100038,0,,Eastbound Avalon at Douglas
100039,Eastbound Fairfield at Quadra,48.420182,-123.360993,100039,0,,Eastbound Fairfield at Quadra
100040,Westbound Humboldt at Quadra,48.418809,-123.361062,100040,0,,Westbound Humboldt at Quadra
100041,Eastbound Humboldt at Quadra,48.418614,-123.361003,100041,0,,Eastbound Humboldt at Quadra
100042,Southbound Douglas at View,48.425742,-123.365108,100042,0,,Southbound Douglas at View
100043,Eastbound Fairfield at Quadra,48.419355,-123.360263,100043,0,,Eastbound Fairfield at Quadra
100044,Northbound Oswego at St James,48.417058,-123.378942,100044,0,,Northbound Oswego at St James
100045,Eastbound Fort at Blanshard,48.424168,-123.361818,100045,0,,Eastbound Fort at Blanshard
100046,Southbound Douglas at Avalon,48.413574,-123.367266,100046,0,,Southbound Douglas at Avalon
100047,Southbound Wharf at Yates,48.427086,-123.370485,100047,0,,Southbound Wharf at Yates
100048,Westbound Yates at Broad,48.426436,-123.365694,100048,0,,Westbound Yates at Broad
100049,Westbound Niagara at Medana,48.413682,-123.375213,100049,0,,Westbound Niagara at Medana
100050,Northbound Government at Johnson,48.427221,-123.367230,100050,0,,Northbound Government at Johnson
100051,Northbound Douglas at Yates,48.426702,-123.364656,100051,0,,Northbound Douglas at Yates
100052,Eastbound Niagara at Medana,48.413570,-123.375270,100052,0,,Eastbound Niagara at Medana
100053,Eastbound Johnson at Store,48.427740,-123.369684,100053,0,,Eastbound Johnson at Store
100054,Westbound Niagara at Clarence,48.412986,-123.373735,100054,0,,Westbound Niagara at Clarence
100055,Eastbound Johnson at Broad,48.427247,-123.365612,100055,0,,Eastbound Johnson at Broad
100056,Eastbound Fairfield at Vancouver,48.418359,-123.358644,100056,0,,Eastbound Fairfield at Vancouver
100057,Southbound Oswego at Beckley,48.416206,-123.380044,100057,0,,Southbound Oswego at Beckley
100058,Eastbound Niagara at Clarence,48.412816,-123.373650,100058,0,,Eastbound Niagara at Clarence
100059,Eastbound Humboldt at Vancouver,48.417346,-123.359065,100059,0,,Eastbound Humboldt at Vancouver
100060,Westbound Humboldt at Vancouver,48.417461,-123.358954,100060,0,,Westbound Humboldt at Vancouver
100062,Southbound Vancouver at Collinson,48.418881,-123.358205,100062,0,,Southbound Vancouver at Collinson
100063,Eastbound Johnson at Douglas,48.427049,-123.363961,100063,0,,Eastbound Johnson at Douglas
100064,Eastbound Fort at Quadra,48.423881,-123.359202,100064,0,,Eastbound Fort at Quadra
100065,Westbound Niagara at Government,48.412238,-123.372097,100065,0,,Westbound Niagara at Government
100066,Northbound St Lawrence at Erie,48.420712,-123.382359,100066,0,,Northbound St Lawrence at Erie
100068,Westbound Yates at Quadra,48.425877,-123.360565,100068,0,,Westbound Yates at Quadra
100069,Northbound Quadra at View,48.424419,-123.359495,100069,0,,Northbound Quadra at View
100070,Eastbound Fairfield at Vancouver,48.418178,-123.357430,100070,0,,Eastbound Fairfield at Vancouver
100072,Eastbound Niagara at Government,48.411928,-123.371791,100072,0,,Eastbound Niagara at Government
100073,Westbound Fairfield at Vancouver,48.418372,-123.357998,100073,0,,Westbound Fairfield at Vancouver
100074,Eastbound Richardson at Vancouver,48.419830,-123.357267,100074,0,,Eastbound Richardson at Vancouver
100075,Westbound Richardson at Vancouver,48.419959,-123.357471,100075,0,,Westbound Richardson at Vancouver
100076,Northbound Douglas at Pandora,48.427709,-123.364449,100076,0,,Northbound Douglas at Pandora
100077,Westbound Pandora at Government,48.428602,-123.367531,100077,0,,Westbound Pandora at Government
100078,Southbound Douglas at Beacon,48.411251,-123.368572,100078,0,,Southbound Douglas at Beacon
100079,Eastbound Johnson at Blanshard,48.426724,-123.361250,100079,0,,Eastbound Johnson at Blanshard
100080,Northbound Douglas at Beacon,48.411962,-123.368007,100080,0,,Northbound Douglas at Beacon
100082,Southbound Douglas at Cormorant,48.428675,-123.364569,100082,0,,Southbound Douglas at Cormorant
100083,Eastbound Fort at Vancouver,48.423691,-123.357215,100083,0,,Eastbound Fort at Vancouver
100084,Westbound Pandora at Blanshard,48.427901,-123.362450,100084,0,,Westbound Pandora at Blanshard
100085,Northbound Quadra at Johnson,48.426144,-123.359061,100085,0,,Northbound Quadra at Johnson
100086,Westbound Erie at Dallas,48.421579,-123.383290,100086,0,,Westbound Erie at Dallas
100088,Southbound Oswego at Dallas,48.414654,-123.381736,100088,0,,Southbound Oswego at Dallas
100089,Northbound Oswego at Dallas,48.414503,-123.381661,100089,0,,Northbound Oswego at Dallas
100090,Eastbound Niagara at Douglas,48.410626,-123.368975,100090,0,,Eastbound Niagara at Douglas
100091,Westbound Fairfield at Cook,48.418153,-123.356219,100091,0,,Westbound Fairfield at Cook
100092,Eastbound Fairfield at Cook,48.418000,-123.355746,100092,0,,Eastbound Fairfield at Cook
100093,Eastbound Johnson at Quadra,48.426459,-123.358604,100093,0,,Eastbound Johnson at Quadra
100094,Westbound Richardson at Cook,48.419737,-123.355444,100094,0,,Westbound Richardson at Cook
100095,Southbound Cook at Fairfield,48.418249,-123.355390,100095,0,,Southbound Cook at Fairfield
100096,Southbound Cook at Richardson,48.419423,-123.355122,100096,0,,Southbound Cook at Richardson
100097,Westbound Esquimalt at Tyee,48.428816,-123.377950,100097,0,,Westbound Esquimalt at Tyee
100099,Eastbound Esquimalt at Tyee,48.428646,-123.377998,100099,0,,Eastbound Esquimalt at Tyee
100100,Northbound Cook at Fairfield,48.418350,-123.355177,100100,0,,Northbound Cook at Fairfield
100101,Southbound Quadra at Pandora,48.427271,-123.359037,100101,0,,Southbound Quadra at Pandora
100102,Southbound Cook at Oscar,48.416043,-123.355956,100102,0,,Southbound Cook at Oscar
100103,Northbound Dallas at Niagara,48.418569,-123.385217,100103,0,,Northbound Dallas at Niagara
100104,Northbound Dallas at Simcoe,48.421051,-123.385330,100104,0,,Northbound Dallas at Simcoe
100105,Northbound Cook at Richardson,48.419857,-123.354811,100105,0,,Northbound Cook at Richardson
100106,Westbound Yates at Vancouver,48.425502,-123.357145,100106,0,,Westbound Yates at Vancouver
100107,Westbound Pandora at Amelia,48.427635,-123.359765,100107,0,,Westbound Pandora at Amelia
100109,Eastbound Richardson at Cook,48.419519,-123.354424,100109,0,,Eastbound Richardson at Cook
100110,Southbound Dallas at Simcoe,48.421117,-123.385517,100110,0,,Southbound Dallas at Simcoe
100111,Southbound Dallas at Niagara,48.418629,-123.385389,100111,0,,Southbound Dallas at Niagara
100112,Southbound Cook at Rockland,48.421881,-123.354504,100112,0,,Southbound Cook at Rockland
100113,Northbound Cook at Southgate,48.416129,-123.355703,100113,0,,Northbound Cook at Southgate
100114,Westbound Kimta at Paul Kane,48.427685,-123.380384,100114,0,,Westbound Kimta at Paul Kane
100115,Southbound Cook at Pandora,48.427357,-123.353345,100115,0,,Southbound Cook at Pandora
100116,Southbound Dallas at Montreal,48.416631,-123.385076,100116,0,,Southbound Dallas at Montreal
100117,Southbound Cook at Oxford,48.414002,-123.356878,100117,0,,Southbound Cook at Oxford
100118,Northbound Quadra at Mason,48.427882,-123.358890,100118,0,,Northbound Quadra at Mason
100119,Northbound Dallas at Montreal,48.416501,-123.384875,100119,0,,Northbound Dallas at Montreal
100120,Northbound Cook at Sutlej,48.414369,-123.356471,100120,0,,Northbound Cook at Sutlej
100121,Northbound Cook at Rockland,48.422308,-123.354186,100121,0,,Northbound Cook at Rockland
100122,Southbound Cook at Meares,48.423080,-123.354206,100122,0,,Southbound Cook at Meares
100123,Eastbound Fairfield at Trutch,48.417466,-123.353748,100123,0,,Eastbound Fairfield at Trutch
100124,Westbound Fairfield at Trutch,48.417590,-123.353750,100124,0,,Westbound Fairfield at Trutch
100125,Eastbound Johnson at Vancouver,48.426171,-123.355899,100125,0,,Eastbound Johnson at Vancouver
100126,Eastbound Fort at Cook,48.423272,-123.353460,100126,0,,Eastbound Fort at Cook
100127,Westbound Yates at Cook,48.425246,-123.354704,100127,0,,Westbound Yates at Cook
100128,Northbound Cook at Fort,48.423606,-123.353903,100128,0,,Northbound Cook at Fort
100129,Westbound Pandora at Vancouver,48.427424,-123.356750,100129,0,,Westbound Pandora at Vancouver
100130,Westbound May at Cook,48.412249,-123.357077,100130,0,,Westbound May at Cook
100131,Eastbound May at Cook,48.412119,-123.356937,100131,0,,Eastbound May at Cook
100132,Southbound Douglas at Discovery,48.432157,-123.364687,100132,0,,Southbound Douglas at Discovery
100133,Northbound Quadra at Balmoral,48.429230,-123.358712,100133,0,,Northbound Quadra at Balmoral
100134,Westbound Esquimalt at Sitkum,48.430122,-123.380465,100134,0,,Westbound Esquimalt at Sitkum
100135,Southbound Quadra at North Park,48.429610,-123.358889,100135,0,,Southbound Quadra at North Park
100137,Westbound Fairfield at Linden,48.417103,-123.352471,100137,0,,Westbound Fairfield at Linden
100138,Westbound Richardson at Linden,48.419352,-123.351837,100138,0,,Westbound Richardson at Linden
100139,Eastbound Richardson at Linden,48.419169,-123.351169,100139,0,,Eastbound Richardson at Linden
100140,Westbound Kimta at Catherine,48.429248,-123.384149,100140,0,,Westbound Kimta at Catherine
100141,Eastbound Fairfield at Linden,48.416731,-123.351845,100141,0,,Eastbound Fairfield at Linden
100143,Eastbound Johnson at Cook,48.425821,-123.352734,100143,0,,Eastbound Johnson at Cook
100144,Northbound Cook at Johnson,48.426220,-123.353298,100144,0,,Northbound Cook at Johnson
100145,Southbound Quadra at Caledonia,48.430531,-123.358747,100145,0,,Southbound Quadra at Caledonia
100146,Northbound Douglas at Discovery,48.432172,-123.364472,100146,0,,Northbound Douglas at Discovery
100147,Northbound Quadra at Caledonia,48.430583,-123.358527,100147,0,,Northbound Quadra at Caledonia
100148,Westbound Esquimalt at Catherine,48.430465,-123.385237,100148,0,,Westbound Esquimalt at Catherine
100149,Eastbound 110 block Wilson,48.431455,-123.379557,100149,0,,Eastbound 110 block Wilson
100150,Westbound Pandora at Cook,48.427249,-123.353831,100150,0,,Westbound Pandora at Cook
100151,Westbound 100 block Wilson,48.431472,-123.379285,100151,0,,Westbound 100 block Wilson
100152,Westbound Bay at Wilson,48.432616,-123.382766,100152,0,,Westbound Bay at Wilson
100153,Eastbound Fort at Linden,48.422933,-123.350239,100153,0,,Eastbound Fort at Linden
100155,Westbound May at Linden,48.411877,-123.353714,100155,0,,Westbound May at Linden
100156,Eastbound May at Linden,48.411803,-123.353983,100156,0,,Eastbound May at Linden
100159,Eastbound Johnson at Chambers,48.425585,-123.350223,100159,0,,Eastbound Johnson at Chambers
100160,Northbound Cook at Balmoral,48.428722,-123.352991,100160,0,,Northbound Cook at Balmoral
100161,Eastbound Esquimalt at Catherine,48.430316,-123.383093,100161,0,,Eastbound Esquimalt at Catherine
100162,Southbound Fairfield at Cornwall,48.415549,-123.349371,100162,0,,Southbound Fairfield at Cornwall
100163,Eastbound May at Wellington,48.411541,-123.351547,100163,0,,Eastbound May at Wellington
100164,Northbound Fairfield at Moss,48.415533,-123.349069,100164,0,,Northbound Fairfield at Moss
100165,Westbound Yates at Ormond,48.424677,-123.348879,100165,0,,Westbound Yates at Ormond
100166,Southbound Quadra at Princess,48.432824,-123.358443,100166,0,,Southbound Quadra at Princess
100167,Eastbound Richardson at Moss,48.418771,-123.347562,100167,0,,Eastbound Richardson at Moss
100168,Northbound Linden at Faithful,48.409754,-123.353798,100168,0,,Northbound Linden at Faithful
100169,Westbound Pandora at Chambers,48.427136,-123.350052,100169,0,,Westbound Pandora at Chambers
100170,Eastbound Bay at Turner,48.434836,-123.375397,100170,0,,Eastbound Bay at Turner
100171,Northbound Quadra at Princess,48.433194,-123.358172,100171,0,,Northbound Quadra at Princess
100172,Southbound Cook at Caledonia,48.430226,-123.352993,100172,0,,Southbound Cook at Caledonia
100173,Eastbound Wilson at Bay,48.432800,-123.382735,100173,0,,Eastbound Wilson at Bay
100174,Westbound Richardson at Robleda,48.418862,-123.347114,100174,0,,Westbound Richardson at Robleda
100175,Westbound Bay at Turner,48.435064,-123.374881,100175,0,,Westbound Bay at Turner
100176,Westbound Wilson at Alston,48.432931,-123.382809,100176,0,,Westbound Wilson at Alston
100177,Southbound Douglas at Bay,48.435290,-123.365319,100177,0,,Southbound Douglas at Bay
100178,Northbound Douglas at Bay,48.435159,-123.365028,100178,0,,Northbound Douglas at Bay
100179,Northbound Cook at Caledonia,48.430698,-123.352718,100179,0,,Northbound Cook at Caledonia
100180,Eastbound Bay at Rock Bay,48.435817,-123.369340,100180,0,,Eastbound Bay at Rock Bay
100181,Eastbound Johnson at Camosun,48.425458,-123.347862,100181,0,,Eastbound Johnson at Camosun
100182,Westbound Tyee at Bay,48.434101,-123.380956,100182,0,,Westbound Tyee at Bay
100183,Westbound Bay at Rock Bay,48.435918,-123.368469,100183,0,,Westbound Bay at Rock Bay
100184,Westbound May at Moss,48.411493,-123.350113,100184,0,,Westbound May at Moss
100185,Westbound Bay at Douglas,48.435798,-123.365981,100185,0,,Westbound Bay at Douglas
100186,Eastbound Tyee at Langford,48.434129,-123.381340,100186,0,,Eastbound Tyee at Langford
100187,Eastbound Fort at Fernwood,48.423364,-123.346080,100187,0,,Eastbound Fort at Fernwood
100188,Eastbound Wilson at Mary,48.432815,-123.385542,100188,0,,Eastbound Wilson at Mary
100189,Westbound Wilson at Mary,48.432944,-123.385784,100189,0,,Westbound Wilson at Mary
100190,Eastbound May at Moss,48.411301,-123.349410,100190,0,,Eastbound May at Moss
100191,Westbound Yates at Fernwood,48.424601,-123.346261,100191,0,,Westbound Yates at Fernwood
100192,Westbound Dallas at Wellington,48.407168,-123.353667,100192,0,,Westbound Dallas at Wellington
100193,Southbound Quadra at Empress,48.435023,-123.358146,100193,0,,Southbound Quadra at Empress
100194,Northbound Fernwood at Yates,48.424076,-123.345465,100194,0,,Northbound Fernwood at Yates
100195,Southbound Douglas at Kings,48.436611,-123.366051,100195,0,,Southbound Douglas at Kings
100196,Southbound Cook at Princess,48.432402,-123.352711,100196,0,,Southbound Cook at Princess
100197,Eastbound Esquimalt at Maitland,48.430617,-123.389796,100197,0,,Eastbound Esquimalt at Maitland
100198,Northbound Douglas at Kings,48.437067,-123.366092,100198,0,,Northbound Douglas at Kings
100199,Eastbound Richardson at Kipling,48.416616,-123.344400,100199,0,,Eastbound Richardson at Kipling
100200,Westbound May at Olive,48.411252,-123.348037,100200,0,,Westbound May at Olive
100201,Eastbound May at Joseph,48.411130,-123.347839,100201,0,,Eastbound May at Joseph
100202,Westbound Richardson at Kipling,48.416745,-123.344356,100202,0,,Westbound Richardson at Kipling
100203,Northbound Fernwood at Johnson,48.425761,-123.345349,100203,0,,Northbound Fernwood at Johnson
100204,Westbound Esquimalt at Maitland,48.430840,-123.390242,100204,0,,Westbound Esquimalt at Maitland
100205,Northbound Fairfield at Kipling,48.413999,-123.345640,100205,0,,Northbound Fairfield at Kipling
100206,Northbound Cook at Princess,48.433018,-123.352439,100206,0,,Northbound Cook at Princess
100207,Southbound Fernwood at Rudlin,48.425849,-123.345522,100207,0,,Southbound Fernwood at Rudlin
100208,Northbound Quadra at Bay,48.435571,-123.357980,100208,0,,Northbound Quadra at Bay
100209,Westbound Pandora at Fernwood,48.426919,-123.345862,100209,0,,Westbound Pandora at Fernwood
100210,Southbound Fairfield at Kipling,48.413674,-123.345516,100210,0,,Southbound Fairfield at Kipling
100211,Eastbound Johnson at Fernwood,48.425395,-123.344975,100211,0,,Eastbound Johnson at Fernwood
100212,Eastbound Fort at Elford,48.424934,-123.341292,100212,0,,Eastbound Fort at Elford
100213,Westbound George at Moss,48.408175,-123.350299,100213,0,,Westbound George at Moss
100214,Northbound Fernwood at Pandora,48.427215,-123.345248,100214,0,,Northbound Fernwood at Pandora
100215,Eastbound Skinner at Catherine,48.435511,-123.384409,100215,0,,Eastbound Skinner at Catherine
100216,Southbound Fernwood at Grant,48.428374,-123.345399,100216,0,,Southbound Fernwood at Grant
100217,Southbound Eberts at May,48.410637,-123.346305,100217,0,,Southbound Eberts at May
100218,Eastbound Gorge Rd E at David,48.438544,-123.368096,100218,0,,Eastbound Gorge at David
100219,Westbound Skinner at Catherine,48.435654,-123.385338,100219,0,,Westbound Skinner at Catherine
100220,Westbound Hillside at Ross,48.438590,-123.365786,100220,0,,Westbound Hillside at Ross
100221,Southbound Moss at Point,48.406348,-123.351122,100221,0,,Southbound Moss at Point
100222,Eastbound May at Eberts,48.410907,-123.345836,100222,0,,Eastbound May at Eberts
100223,Westbound Gorge Rd E at David,48.438742,-123.368200,100223,0,,Westbound Gorge at David
100224,Westbound Fort at Stanley,48.424600,-123.342749,100224,0,,Westbound Fort at Stanley
100225,Eastbound Wilson at Dalton,48.432526,-123.391202,100225,0,,Eastbound Wilson at Dalton
100226,Southbound Cook at Empress,48.434597,-123.352430,100226,0,,Southbound Cook at Empress
100227,Northbound Fernwood at Grant,48.428865,-123.345170,100227,0,,Northbound Fernwood at Grant
100228,Northbound Johnson at Stanley,48.425845,-123.343174,100228,0,,Northbound Johnson at Stanley
100229,Westbound Wilson at Dalton,48.432664,-123.391205,100229,0,,Westbound Wilson at Dalton
100230,Westbound Bushby at Joseph,48.408357,-123.347867,100230,0,,Westbound Bushby at Joseph
100231,Eastbound Esquimalt at Barnard,48.431303,-123.393218,100231,0,,Eastbound Esquimalt at Barnard
100232,Southbound Eberts at Bushby,48.409109,-123.346670,100232,0,,Southbound Eberts at Bushby
100233,Southbound Quadra at Kings,48.437666,-123.358794,100233,0,,Southbound Quadra at Kings
100234,Northbound Quadra at Kings,48.437903,-123.358611,100234,0,,Northbound Quadra at Kings
100235,Northbound Cook at Bay,48.435219,-123.352165,100235,0,,Northbound Cook at Bay
100236,Northbound Fairfield at Memorial,48.412308,-123.343396,100236,0,,Northbound Fairfield at Memorial
100237,Eastbound Hillside at Dowler,48.438963,-123.362391,100237,0,,Eastbound Hillside at Dowler
100238,Southbound Memorial at May,48.411543,-123.343857,100238,0,,Southbound Memorial at May
100239,Northbound Douglas at Market,48.439443,-123.367344,100239,0,,Northbound Douglas at Market
100240,Southbound Fernwood at Gladstone,48.430264,-123.345245,100240,0,,Southbound Fernwood at Gladstone
100241,Southbound Fairfield at Memorial,48.412140,-123.343405,100241,0,,Southbound Fairfield at Memorial
100242,Westbound Esquimalt at Dominion,48.431752,-123.394053,100242,0,,Westbound Esquimalt at Dominion
100243,Northbound Memorial at Fairfield,48.411816,-123.343432,100243,0,,Northbound Memorial at Fairfield
100244,Westbound Richardson at Arnold,48.416421,-123.341397,100244,0,,Westbound Richardson at Arnold
100245,Northbound Fernwood at Gladstone,48.430662,-123.345034,100245,0,,Northbound Fernwood at Gladstone
